country,CO2emissions,LifeExpectancyYrs
Afghanistan,0.412,56.7
Albania,1.79,76.7
Algeria,3.29,76.7
Andorra,5.87,82.6
Angola,1.25,60.9
Antigua and Barbuda,5.36,76.9
Argentina,4.6,76
Armenia,1.71,73.8
Australia,17.4,82.2
Austria,7.69,80.7
Azerbaijan,3.66,69.9
Bahamas,5.09,73.8
Bahrain,22.4,76.2
Bangladesh,0.412,71
Barbados,5.45,76.7
Belarus,6.77,70.7
Belgium,9.08,80.2
Belize,1.83,71.5
Benin,0.56,62.2
Bhutan,0.99,72.5
Bolivia,1.6,71.9
Bosnia and Herzegovina,6.48,76.9
Botswana,2.04,58.9
Brazil,2.21,74.4
Brunei,24.6,77
Bulgaria,6.71,74.3
Burkina Faso,0.138,58.4
Burundi,0.0268,58.2
Cambodia,0.358,66.6
Cameroon,0.281,57.7
Canada,15.6,81.5
Cape Verde,1.21,72.7
Central African Republic,0.0623,48
Chad,0.0439,57
Chile,4.62,79.5
China,7.12,75.1
Colombia,1.65,77
Comoros,0.192,65.6
"Congo, Dem. Rep.",0.0374,58
"Congo, Rep.",0.501,61.1
Costa Rica,1.68,80.5
Cote d'Ivoire,0.347,56.9
Croatia,4.59,76.6
Cuba,3.17,78.5
Cyprus,6.6,80.2
Czech Republic,10.1,77.8
Denmark,7.28,79.8
Djibouti,0.546,64.2
Dominica,1.79,73
Dominican Republic,2.12,74.7
Ecuador,2.54,77
Egypt,2.53,70.9
El Salvador,1.07,74.3
Equatorial Guinea,6.16,61.4
Eritrea,0.133,62
Estonia,14,76.3
Ethiopia,0.0858,62.2
Fiji,1.26,65.5
Finland,10.5,80.3
France,5.24,81.7
Gabon,2.93,63.3
Gambia,0.256,66
Georgia,1.91,73
Germany,9.05,80.3
Ghana,0.391,62.9
Greece,6.99,80.5
Grenada,2.41,71.3
Guatemala,0.792,71.5
Guinea,0.252,58.5
Guinea-Bissau,0.154,56.2
Guyana,2.38,65.7
Haiti,0.219,60.5
Honduras,1.07,71.8
Hungary,4.83,74.9
Iceland,5.82,82.1
India,1.48,66.6
Indonesia,2.46,70.2
Iran,7.8,74.8
Iraq,4.24,67.6
Ireland,7.64,80.5
Israel,9.13,81.6
Italy,6.66,81.8
Jamaica,2.78,74.8
Japan,9.27,82.6
Jordan,2.86,76.1
Kazakhstan,15.6,69
Kenya,0.317,63.8
Kiribati,0.596,60.8
Kuwait,28.5,78.9
Kyrgyz Republic,1.39,69.1
Lao,0.256,64.6
Latvia,3.49,73.6
Lebanon,4.46,79
Lesotho,1.13,47.5
Liberia,0.219,61.4
Libya,6.41,61
Liechtenstein,1.31,NA
Lithuania,4.48,73.5
Luxembourg,21,81.5
"Macedonia, FYR",4.54,74.2
Madagascar,0.108,61.1
Malawi,0.0756,54.5
Malaysia,7.7,74.6
Maldives,2.63,78.3
Mali,0.0673,60
Malta,6.07,80.4
Marshall Islands,1.95,63.9
Mauritania,0.644,68.6
Mauritius,3.13,73.8
Mexico,4.07,75.8
"Micronesia, Fed. Sts.",1.17,65.4
Moldova,1.24,71.5
Mongolia,7.79,66.6
Montenegro,4.11,76.4
Morocco,1.76,73.8
Mozambique,0.129,55
Myanmar,0.283,67.4
Namibia,1.28,60.1
Nauru,3.95,NA
Nepal,0.202,68.7
Netherlands,10.4,80.9
New Zealand,7.13,81
Nicaragua,0.84,77.5
Niger,0.0778,59.3
Nigeria,0.588,61.3
North Korea,1.94,70.2
Norway,9.13,81.2
Oman,16.7,76.4
Pakistan,0.93,65.8
Palau,12.3,NA
Palestine,0.538,72.1
Panama,2.72,77.9
Papua New Guinea,0.733,59
Paraguay,0.845,74.1
Peru,1.67,78.1
Philippines,0.897,69.2
Poland,8.27,76.5
Portugal,4.48,80.1
Qatar,41.2,80
Romania,4.18,74.5
Russia,12.3,69.8
Rwanda,0.0631,65.3
Samoa,1.07,71.5
Sao Tome and Principe,0.574,69.3
Saudi Arabia,17.7,75.3
Senegal,0.629,64.4
Serbia,5.47,74.8
Seychelles,3.71,73.5
Sierra Leone,0.136,55.7
Singapore,8.74,82.9
Slovak Republic,6.38,75.9
Slovenia,7.35,79.8
Solomon Islands,0.367,62
Somalia,0.0488,53.4
South Africa,9,55.8
South Korea,11.8,80.4
South Sudan,NA,58.1
Spain,5.77,82.2
Sri Lanka,0.745,76
St. Kitts and Nevis,4.44,NA
St. Lucia,2.34,76
St. Vincent and the Grenadines,1.81,71.7
Sudan,0.445,66.5
Suriname,3.7,70.5
Swaziland,0.856,48.9
Sweden,5.47,81.7
Switzerland,4.66,82.5
Syria,2.73,75
Tajikistan,0.301,69.9
Tanzania,0.17,59.9
Thailand,4.12,76.9
Timor-Leste,0.217,71.6
Togo,0.369,59.6
Tonga,0.982,70
Trinidad and Tobago,35.2,72.7
Tunisia,2.42,77
Turkey,4.37,78.2
Turkmenistan,12.1,68.4
Tuvalu,0.69,NA
Uganda,0.122,57.7
Ukraine,6.28,71.1
United Arab Emirates,19.1,76.5
United Kingdom,7.02,80.5
United States,17,78.8
Uruguay,2.29,76.4
Uzbekistan,3.91,69
Vanuatu,0.546,63.2
Venezuela,6,75.4
Vietnam,1.7,73.3
Yemen,0.811,67.7
Zambia,0.206,53.2
Zimbabwe,0.665,51.9
Monaco,NA,NA
San Marino,NA,NA
Holy See,NA,NA
